Borough;Accesibility Score
Barking and Dagenham;5,33
Barnet;6,29
Bexley;7,33
Brent;4,93
Bromley;7,08
Camden;7,15
Croydon;7,26
Ealing;6,92
Enfield;5,44
Greenwhich;7,85
Hackney;6,57
Hammersmith and Fulham;8
Haringey;5,73
Harrow;4,67
Havering;7,8
Hillingdon;6,57
Hounslow;5,25
Islington;5,5
Kensington and Chelsea;6
Kingston upon Thames;5,6
Lambeth;7
Lewisham;7,45
Merton;5,18
Newham;7,5
Redbridge;9
Richmond upon Thames;5,86
Southwark;6,17
Sutton;7,11
Tower Hamlets;6,2
Waltham Forest;5,75
Wandsworth;7
Westminster;8,29